=== SHEET: Backend ===
1 | Case N | Scenario | Conditions | Expected result | Status | TC ref
2 | 1 | Re-signing flag absent on the new contract product — save should still succeed with an informational pop-up (no re-signing performed). | New contract product is flagged as re-signing product - ❌ | HTTP 200 OK with structured payload { code: PRODUCT_NOT_FOR_RESIGNING, message: "Product is not for re-signing", severity: INFO }. • Contract is saved as-is (no error). • No POD is moved or marked. • Old contract is unchanged. • Frontend shows a non-blocking informational pop-up — does NOT abort the save flow. | ✅ | 
3 | 2 | Re-signing blocked because product uses manual activation (operator activates supply manually rather than on a system-calculated date). | New contract product is flagged as re-signing product - ✅ Product supply-activation rule = Manual - ✅ | HTTP 409/422 with code MANUAL_ACTIVATION_NOT_RESIGNABLE — "Product not suitable for re-signing due to manual activation option". • No POD moved. • Old + new contracts unchanged. • Re-signing flow exits cleanly (no partial state). | ✅ | TC-BE-8
4 | 3 | Customer has no other Active contract for the same product, so re-signing has nothing to re-sign FROM. | New contract product is flagged as re-signing product - ✅ Product supply-activation rule = Manual - ❌ Customer has another contract for same product, status Active (in term or perpetuity) - ❌ | HTTP 400/422 with code RESIGNING_REQUIRES_EXISTING_CONTRACT — "Product X is only for re-signing". • Save is rejected (not silently saved). • No POD moved. • Frontend can show this as a blocking error tied to product selection. | ✅ | 
5 | 4 | New (re-signing) product is not compatible with the customer's existing contract product (compatibility lookup fails). | New contract product is flagged as re-signing product - ✅ Product supply-activation rule = Manual - ❌ Customer has another contract for same product, status Active (in term or perpetuity) - ✅ New (re-signing) product is compatible with old contract's product - ❌ | HTTP 400/422 with code RESIGNING_PRODUCT_INCOMPATIBLE — "Re-signing unavailable due to product incompatibility". • No POD moved. • Old + new contracts unchanged. • Compatibility table is the source of truth — engine does not silently fall back to a default product. | ✅ | 
6 | 5 | Signing date is earlier than the early re-signing deadline — re-signing window has not opened yet. | New contract product is flagged as re-signing product - ✅ Product supply-activation rule = Manual - ❌ Customer has another contract for same product, status Active (in term or perpetuity) - ✅ New (re-signing) product is compatible with old contract's product - ✅ Signing date >= early re-sign deadline (start of window) - ❌ | HTTP 400/422 with code SIGNING_DATE_OUT_OF_RESIGNING_WINDOW. • Error payload includes window bounds (deadline + end date) so UI can explain the gap. • No POD moved; no contracts changed. | ✅ | TC-BE-13
7 | 6 | Signing date is after the old contract's end date — old contract has already expired, this is no longer a re-sign scenario. | New contract product is flagged as re-signing product - ✅ Product supply-activation rule = Manual - ❌ Customer has another contract for same product, status Active (in term or perpetuity) - ✅ New (re-signing) product is compatible with old contract's product - ✅ Signing date <= old contract term end date (end of window) - ❌ | HTTP 400/422 with code SIGNING_DATE_OUT_OF_RESIGNING_WINDOW. • Error payload includes window bounds. • No POD moved. • Re-signing pipeline halts before any DB writes. | ✅ | TC-BE-13
8 | 7 | Boundary case — signing date equals early re-signing deadline (must be accepted as inclusive). | New contract product is flagged as re-signing product - ✅ Product supply-activation rule = Manual - ❌ Customer has another contract for same product, status Active (in term or perpetuity) - ✅ New (re-signing) product is compatible with old contract's product - ✅ Signing date is between old contract end date and early re-sign deadline (inclusive) - ✅ Old contract version has ≥1 Active POD not yet marked Re-signed - ✅ Selected POD has future activation in another contract (AC4) - ❌ POD has a gap in a future version of the old contract - ❌ POD can be activated in at least one version of the new contract - ✅ Signing date == early re-signing deadline - ✅ | HTTP 200 OK. • Inclusive bound at the open end of the window is honoured. • POD moved and marked Re-signed as in TC-1. | ✅ | TC-BE-13
9 | 8 | Old contract version has no Active POD that is still eligible (all already deactivated or already Re-signed). Per AC3 the re-sign cannot start. | New contract product is flagged as re-signing product - ✅ Product supply-activation rule = Manual - ❌ Customer has another contract for same product, status Active (in term or perpetuity) - ✅ New (re-signing) product is compatible with old contract's product - ✅ Signing date is between old contract end date and early re-sign deadline (inclusive) - ✅ Old contract version has ≥1 Active POD not yet marked Re-signed - ❌ | HTTP 400/422 with code NO_ELIGIBLE_POD_TO_RESIGN. • Old + new contracts unchanged. • No POD moved. • Error message clearly indicates that the source contract has nothing left to re-sign. | ✅ | TC-BE-17
10 | 9 | Selected POD was already marked Re-signed in this version of the old contract — AC6 forbids re-signing the same POD twice from the same source version. | New contract product is flagged as re-signing product - ✅ Product supply-activation rule = Manual - ❌ Customer has another contract for same product, status Active (in term or perpetuity) - ✅ New (re-signing) product is compatible with old contract's product - ✅ Signing date is between old contract end date and early re-sign deadline (inclusive) - ✅ Selected POD already marked Re-signed in this version - ✅ | HTTP 409/422 with code POD_ALREADY_RESIGNED_THIS_VERSION. • Error payload identifies which POD is duplicate so UI can highlight the offending row. • Atomicity preserved — no partial re-sign of other PODs in the same batch (see TC-29). | ✅ | TC-BE-42
11 | 10 | AC7 lifecycle — POD was previously Re-signed in contract F, then deactivated in F, then activated in contract C. Now the user re-signs from C into a new contract D. | POD previously Re-signed in contract F - ✅ POD subsequently deactivated in contract F - ✅ POD added & activated in contract C - ✅ Re-sign attempted from C into new contract D - ✅ | HTTP 200 OK. • Re-sign succeeds (AC7 explicitly allows this lifecycle). • POD is Active in D; deactivated in C on activation - 1; marked Re-signed in C. • Contract F is untouched (its Re-signed marker remains historical). • AC6 is respected because the source version (C) has no prior Re-signed marker for this POD. | ✅ | —
12 | 11 | Activation date calculation when Wait=Yes and supply rule = "first day of next month". | New contract product is flagged as re-signing product - ✅ Product supply-activation rule = Manual - ❌ Customer has another contract for same product, status Active (in term or perpetuity) - ✅ New (re-signing) product is compatible with old contract's product - ✅ Signing date is between old contract end date and early re-sign deadline (inclusive) - ✅ Old contract version has ≥1 Active POD not yet marked Re-signed - ✅ Selected POD has future activation in another contract (AC4) - ❌ POD has a gap in a future version of the old contract - ❌ POD can be activated in at least one version of the new contract - ✅ "Wait for old contract term to expire" rule = Yes - ✅ Supply activation rule = First day of next month - ✅ Old contract term end date = 2026-03-25 - ✅ | HTTP 200 OK. • New POD activation = 2026-04-01 (first day of month following old end date). • Old POD deactivation = 2026-03-31. • POD inserted into the new-contract version covering 2026-04-01. | ✅ | TC-BE-25
13 | 12 | Activation date calculation when Wait=Yes and supply rule = exact (NOT "first day of next month"). | New contract product is flagged as re-signing product - ✅ Product supply-activation rule = Manual - ❌ Customer has another contract for same product, status Active (in term or perpetuity) - ✅ New (re-signing) product is compatible with old contract's product - ✅ Signing date is between old contract end date and early re-sign deadline (inclusive) - ✅ Old contract version has ≥1 Active POD not yet marked Re-signed - ✅ Selected POD has future activation in another contract (AC4) - ❌ POD has a gap in a future version of the old contract - ❌ POD can be activated in at least one version of the new contract - ✅ "Wait for old contract term to expire" rule = Yes - ✅ Supply activation rule = First day of next month - ❌ Old contract term end date = 2026-03-25 - ✅ | HTTP 200 OK. • New POD activation = 2026-03-26 (old end date + 1 day). • Old POD deactivation = 2026-03-25 (= activation - 1). • POD inserted into new-contract version covering 2026-03-26. | ✅ | TC-BE-25
14 | 13 | Activation date calculation when Wait=No (re-sign without waiting for old term to expire) AND perpetuity check passes AND supply rule = "first day of next month". | New contract product is flagged as re-signing product - ✅ Product supply-activation rule = Manual - ❌ Customer has another contract for same product, status Active (in term or perpetuity) - ✅ New (re-signing) product is compatible with old contract's product - ✅ Signing date is between old contract end date and early re-sign deadline (inclusive) - ✅ Old contract version has ≥1 Active POD not yet marked Re-signed - ✅ Selected POD has future activation in another contract (AC4) - ❌ POD has a gap in a future version of the old contract - ❌ POD can be activated in at least one version of the new contract - ✅ "Wait for old contract term to expire" rule = Yes - ❌ Perpetuity date is empty OR > signing date - ✅ Supply activation rule = First day of next month - ✅ New contract signing date = 2026-03-15 - ✅ | HTTP 200 OK. • New POD activation = 2026-04-01 (first day of month following signing date). • Old POD deactivation = 2026-03-31. • Old contract is closed early — its term end is effectively shortened by the deactivation. | ✅ | TC-BE-22
15 | 14 | Activation date calculation when Wait=No, perpetuity OK, and supply rule = exact (next month, same day). | New contract product is flagged as re-signing product - ✅ Product supply-activation rule = Manual - ❌ Customer has another contract for same product, status Active (in term or perpetuity) - ✅ New (re-signing) product is compatible with old contract's product - ✅ Signing date is between old contract end date and early re-sign deadline (inclusive) - ✅ Old contract version has ≥1 Active POD not yet marked Re-signed - ✅ Selected POD has future activation in another contract (AC4) - ❌ POD has a gap in a future version of the old contract - ❌ POD can be activated in at least one version of the new contract - ✅ "Wait for old contract term to expire" rule = Yes - ❌ Perpetuity date is empty OR > signing date - ✅ Supply activation rule = First day of next month - ❌ New contract signing date = 2026-03-15 - ✅ | HTTP 200 OK. • New POD activation = 2026-04-15 (signing date + 1 month, same day-of-month). • Old POD deactivation = 2026-04-14. • Old contract version sliced accordingly. | ✅ | TC-BE-26
